locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAGEIGCL_00254	CDS	726	rbgA_1		COG1161	Ribosome biogenesis GTPase A
FAGEIGCL_00255	CDS	393				hypothetical protein
FAGEIGCL_00256	CDS	219				hypothetical protein
FAGEIGCL_00257	CDS	696				hypothetical protein
FAGEIGCL_00258	CDS	804				hypothetical protein
FAGEIGCL_00259	CDS	1212	dadD	3.5.4.31		5'-deoxyadenosine deaminase
FAGEIGCL_00260	CDS	420				hypothetical protein
FAGEIGCL_00261	CDS	264				hypothetical protein
FAGEIGCL_00262	CDS	660	csn2_1			CRISPR-associated protein Csn2
FAGEIGCL_00263	CDS	330	cas2_1	3.1.-.-		CRISPR-associated endoribonuclease Cas2
FAGEIGCL_00264	CDS	714	cas1_1	3.1.-.-		CRISPR-associated endonuclease Cas1
FAGEIGCL_00265	CDS	4332				hypothetical protein
FAGEIGCL_00266	CDS	867	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
FAGEIGCL_00267	CDS	606	azoR_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
FAGEIGCL_00268	CDS	3903				hypothetical protein
FAGEIGCL_00269	CDS	801	ydcF_1		COG1434	Protein YdcF
FAGEIGCL_00270	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
FAGEIGCL_00271	CDS	1002	gap_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
FAGEIGCL_00272	CDS	531	cybB		COG3038	Cytochrome b561
FAGEIGCL_00273	CDS	174				hypothetical protein
FAGEIGCL_00274	CDS	168				hypothetical protein
FAGEIGCL_00275	CDS	294	trg		COG0840	Methyl-accepting chemotaxis protein III
FAGEIGCL_00276	CDS	924	catM_1			HTH-type transcriptional regulator CatM
FAGEIGCL_00277	CDS	1344			COG5383	putative protein
FAGEIGCL_00278	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
FAGEIGCL_00279	CDS	225				hypothetical protein
FAGEIGCL_00280	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
FAGEIGCL_00281	CDS	981				hypothetical protein
FAGEIGCL_00282	CDS	993	tehA		COG1275	Tellurite resistance protein TehA
FAGEIGCL_00283	CDS	594	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
FAGEIGCL_00284	CDS	669				hypothetical protein
FAGEIGCL_00285	CDS	1050	cimH		COG3493	Citrate/malate transporter
FAGEIGCL_00286	CDS	1290	rnj	3.1.-.-		Ribonuclease J
FAGEIGCL_00287	CDS	819	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
FAGEIGCL_00288	CDS	282				hypothetical protein
FAGEIGCL_00289	CDS	225				hypothetical protein
FAGEIGCL_00290	CDS	819				hypothetical protein
FAGEIGCL_00291	CDS	399				hypothetical protein
FAGEIGCL_00292	CDS	201				hypothetical protein
FAGEIGCL_00293	CDS	288	lytR		COG3279	Sensory transduction protein LytR
FAGEIGCL_00294	CDS	213				hypothetical protein
FAGEIGCL_00295	CDS	249				hypothetical protein
FAGEIGCL_00296	CDS	738				hypothetical protein
FAGEIGCL_00297	CDS	372	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
FAGEIGCL_00298	CDS	1404	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
FAGEIGCL_00299	CDS	435				hypothetical protein
FAGEIGCL_00300	CDS	636	yodC_1	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YodC
FAGEIGCL_00301	CDS	1077	murJ_1		COG2244	Lipid II flippase MurJ
FAGEIGCL_00302	CDS	687	pphA_1	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
FAGEIGCL_00303	CDS	2193	yhgF_1		COG2183	Protein YhgF
FAGEIGCL_00304	CDS	411	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
FAGEIGCL_00305	CDS	351				hypothetical protein
FAGEIGCL_00306	CDS	231				hypothetical protein
FAGEIGCL_00307	CDS	753	iphP	3.1.3.48		Tyrosine-protein phosphatase
FAGEIGCL_00308	CDS	600				hypothetical protein
FAGEIGCL_00309	CDS	816	menB_1	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
FAGEIGCL_00310	CDS	459				hypothetical protein
FAGEIGCL_00311	CDS	174				hypothetical protein
FAGEIGCL_00312	CDS	975	mhqA_1	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
FAGEIGCL_00313	CDS	573	mhqD_1	3.1.-.-	COG0400	Putative hydrolase MhqD
FAGEIGCL_00314	CDS	1527	murE_1	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
FAGEIGCL_00315	CDS	138				hypothetical protein
FAGEIGCL_00316	CDS	300				hypothetical protein
FAGEIGCL_00317	CDS	783				hypothetical protein
FAGEIGCL_00318	CDS	1278	licC_2		COG1455	Lichenan permease IIC component
FAGEIGCL_00319	CDS	321	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
FAGEIGCL_00320	CDS	171	ptcB_1	2.7.1.205	COG1440	PTS system cellobiose-specific EIIB component
FAGEIGCL_00321	CDS	804				hypothetical protein
FAGEIGCL_00322	CDS	858				hypothetical protein
FAGEIGCL_00323	CDS	414				hypothetical protein
FAGEIGCL_00324	CDS	474	ntpK			V-type sodium ATPase subunit K
FAGEIGCL_00325	CDS	309				hypothetical protein
FAGEIGCL_00326	CDS	2223	mgtA_1	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
FAGEIGCL_00327	CDS	696	mtnN_1	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
FAGEIGCL_00328	CDS	297				hypothetical protein
FAGEIGCL_00329	CDS	435	nudF_1	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
FAGEIGCL_00330	CDS	270				hypothetical protein
FAGEIGCL_00331	CDS	219	manZ_1		COG3716	PTS system mannose-specific EIID component
FAGEIGCL_00332	CDS	165				hypothetical protein
FAGEIGCL_00333	CDS	171				hypothetical protein
FAGEIGCL_00334	CDS	438			COG1132	putative ABC transporter ATP-binding protein
FAGEIGCL_00335	CDS	531				hypothetical protein
FAGEIGCL_00336	CDS	1179	tmcAL_1	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
FAGEIGCL_00337	CDS	720				putative transcriptional regulatory protein
FAGEIGCL_00338	CDS	198				hypothetical protein
FAGEIGCL_00339	CDS	564	tagU_1	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
FAGEIGCL_00340	CDS	444				hypothetical protein
FAGEIGCL_00341	CDS	435				hypothetical protein
FAGEIGCL_00342	CDS	252	rpsT_1			30S ribosomal protein S20
