locus_tag	ftype	length_bp	gene	EC_number	COG	product
HANCKOBL_00111	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
HANCKOBL_00112	CDS	216	cnu			OriC-binding nucleoid-associated protein
HANCKOBL_00113	CDS	441	ydgK			Inner membrane protein YdgK
HANCKOBL_00114	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
HANCKOBL_00115	CDS	579	rsxB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
HANCKOBL_00116	CDS	2031	rsxC_1	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
HANCKOBL_00117	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
HANCKOBL_00118	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
HANCKOBL_00119	CDS	696	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
HANCKOBL_00120	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
HANCKOBL_00121	CDS	1503	dtpA		COG3104	Dipeptide and tripeptide permease A
HANCKOBL_00122	CDS	606	gstA	2.5.1.18	COG0625	Glutathione S-transferase GstA
HANCKOBL_00123	CDS	861	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
HANCKOBL_00124	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
HANCKOBL_00125	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
HANCKOBL_00126	CDS	324	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
HANCKOBL_00127	CDS	1110	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
HANCKOBL_00128	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
HANCKOBL_00129	CDS	435	slyA		COG1846	Transcriptional regulator SlyA
HANCKOBL_00130	CDS	237				hypothetical protein
HANCKOBL_00131	CDS	858	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
HANCKOBL_00132	CDS	2013	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
HANCKOBL_00133	CDS	522	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
HANCKOBL_00134	CDS	897	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
HANCKOBL_00135	CDS	240				hypothetical protein
HANCKOBL_00136	CDS	600	nemR			HTH-type transcriptional repressor NemR
HANCKOBL_00137	CDS	1098	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
HANCKOBL_00138	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
HANCKOBL_00139	CDS	648	rnt	3.1.13.-	COG0847	Ribonuclease T
HANCKOBL_00140	CDS	348	grxD		COG0278	Glutaredoxin 4
HANCKOBL_00141	CDS	816	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
HANCKOBL_00142	CDS	582	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
HANCKOBL_00143	CDS	1170	ydhP		COG2814	Inner membrane transport protein YdhP
HANCKOBL_00144	CDS	90	ynhF			putative protein YnhF
HANCKOBL_00145	CDS	1026	purR		COG1609	HTH-type transcriptional repressor PurR
HANCKOBL_00146	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
HANCKOBL_00147	CDS	1212	ydhC			Inner membrane transport protein YdhC
HANCKOBL_00148	CDS	1149	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
HANCKOBL_00149	CDS	642	ribC	2.5.1.9	COG0307	Riboflavin synthase
HANCKOBL_00150	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
HANCKOBL_00151	CDS	1257				putative autotransporter
HANCKOBL_00152	tRNA	77				tRNA-Val(gac)
HANCKOBL_00153	tRNA	77				tRNA-Val(gac)
HANCKOBL_00154	CDS	306	ydhR	1.-.-.-		Putative monooxygenase YdhR
HANCKOBL_00155	CDS	1605				hypothetical protein
HANCKOBL_00156	CDS	765	ydhT			putative protein YdhT
HANCKOBL_00157	CDS	786	ydhU		COG4117	Putative cytochrome YdhU
HANCKOBL_00158	CDS	669	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
HANCKOBL_00159	CDS	639	ydhW			putative protein YdhW
HANCKOBL_00160	CDS	2103	ydhV	1.-.-.-	COG2414	putative oxidoreductase YdhV
HANCKOBL_00161	CDS	627	ydhY		COG0437	putative ferredoxin-like protein YdhY
HANCKOBL_00162	CDS	210	fumD	4.2.1.2		Fumarase D
HANCKOBL_00163	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
HANCKOBL_00164	CDS	237	lpp		COG4238	Major outer membrane prolipoprotein Lpp
HANCKOBL_00165	CDS	1005	ynhG	2.-.-.-	COG1376	putative L,D-transpeptidase YnhG
HANCKOBL_00166	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
HANCKOBL_00167	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
HANCKOBL_00168	CDS	1272	sufD		COG0719	FeS cluster assembly protein SufD
HANCKOBL_00169	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
HANCKOBL_00170	CDS	1488	sufB		COG0719	FeS cluster assembly protein SufB
HANCKOBL_00171	CDS	369	sufA		COG0316	Protein SufA
HANCKOBL_00172	CDS	189				hypothetical protein
HANCKOBL_00173	CDS	411	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
HANCKOBL_00174	CDS	3057			COG0247	putative protein
HANCKOBL_00175	CDS	1113	ydiK		COG0628	Putative transport protein YdiK
HANCKOBL_00176	CDS	357				hypothetical protein
HANCKOBL_00177	CDS	1215	ydiM			Inner membrane transport protein YdiM
HANCKOBL_00178	CDS	1266	ydiN			Inner membrane transport protein YdiN
HANCKOBL_00179	CDS	867	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
HANCKOBL_00180	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
HANCKOBL_00181	CDS	1596	ydiF_1	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
HANCKOBL_00182	CDS	1152	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
HANCKOBL_00183	CDS	912	rhaS_1			HTH-type transcriptional activator RhaS
HANCKOBL_00184	CDS	765	fixA_1		COG2086	Protein FixA
HANCKOBL_00185	CDS	939	fixB_1		COG2025	Protein FixB
HANCKOBL_00186	CDS	1290	dadA_1	1.4.99.-		D-amino acid dehydrogenase
HANCKOBL_00187	CDS	294	fixX_1		COG2440	Ferredoxin-like protein FixX
HANCKOBL_00188	CDS	1647	fadK	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
HANCKOBL_00189	CDS	2379	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
HANCKOBL_00190	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
HANCKOBL_00191	CDS	1047	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
HANCKOBL_00192	CDS	192	ydiE		COG4256	putative protein YdiE
HANCKOBL_00193	CDS	1437	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
HANCKOBL_00194	CDS	714	ydiV		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
HANCKOBL_00195	CDS	465	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
HANCKOBL_00196	CDS	750	btuD_1	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
HANCKOBL_00197	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
HANCKOBL_00198	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
HANCKOBL_00199	CDS	396				hypothetical protein
HANCKOBL_00200	CDS	936	xerC_1			Tyrosine recombinase XerC
HANCKOBL_00201	CDS	312				hypothetical protein
HANCKOBL_00202	CDS	279				hypothetical protein
HANCKOBL_00203	CDS	339				hypothetical protein
HANCKOBL_00204	CDS	279				hypothetical protein
HANCKOBL_00205	CDS	243				hypothetical protein
HANCKOBL_00206	CDS	114				hypothetical protein
HANCKOBL_00207	CDS	204				hypothetical protein
HANCKOBL_00208	CDS	219				hypothetical protein
HANCKOBL_00209	CDS	390				hypothetical protein
HANCKOBL_00210	CDS	2841				hypothetical protein
HANCKOBL_00211	CDS	960	parM_1			Plasmid segregation protein ParM
HANCKOBL_00212	CDS	312				hypothetical protein
HANCKOBL_00213	CDS	384				hypothetical protein
HANCKOBL_00214	CDS	531				hypothetical protein
HANCKOBL_00215	CDS	1047				hypothetical protein
HANCKOBL_00216	CDS	1752				hypothetical protein
HANCKOBL_00217	CDS	837				hypothetical protein
HANCKOBL_00218	CDS	1053				hypothetical protein
HANCKOBL_00219	CDS	801				hypothetical protein
HANCKOBL_00220	CDS	495				hypothetical protein
HANCKOBL_00221	CDS	201				hypothetical protein
HANCKOBL_00222	CDS	324				hypothetical protein
HANCKOBL_00223	CDS	393				hypothetical protein
HANCKOBL_00224	CDS	408				hypothetical protein
HANCKOBL_00225	CDS	468				hypothetical protein
HANCKOBL_00226	CDS	645				hypothetical protein
HANCKOBL_00227	CDS	582				hypothetical protein
HANCKOBL_00228	CDS	351				hypothetical protein
HANCKOBL_00229	CDS	897				hypothetical protein
HANCKOBL_00230	CDS	528				hypothetical protein
HANCKOBL_00231	CDS	2736				hypothetical protein
HANCKOBL_00232	CDS	528				hypothetical protein
HANCKOBL_00233	CDS	489				hypothetical protein
HANCKOBL_00234	CDS	2808				hypothetical protein
HANCKOBL_00235	CDS	375				hypothetical protein
HANCKOBL_00236	CDS	513				hypothetical protein
HANCKOBL_00237	CDS	1185	gpFI			Putative prophage major tail sheath protein
HANCKOBL_00238	CDS	1110				hypothetical protein
HANCKOBL_00239	CDS	3120				hypothetical protein
HANCKOBL_00240	CDS	261				hypothetical protein
HANCKOBL_00241	CDS	141				hypothetical protein
HANCKOBL_00242	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
HANCKOBL_00243	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
HANCKOBL_00244	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
HANCKOBL_00245	CDS	357	rplT		COG0292	50S ribosomal protein L20
HANCKOBL_00246	CDS	198	rpmI		COG0291	50S ribosomal protein L35
HANCKOBL_00247	CDS	435	infC		COG0290	Translation initiation factor IF-3
HANCKOBL_00248	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
HANCKOBL_00249	CDS	549				hypothetical protein
HANCKOBL_00250	CDS	108	yniD			putative protein YniD
HANCKOBL_00251	CDS	759				hypothetical protein
HANCKOBL_00252	CDS	930	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
HANCKOBL_00253	CDS	291				hypothetical protein
HANCKOBL_00254	CDS	861		2.7.1.-		putative ketoamine kinase
HANCKOBL_00255	CDS	537				hypothetical protein
HANCKOBL_00256	CDS	669	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
HANCKOBL_00257	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
HANCKOBL_00258	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
HANCKOBL_00259	CDS	264	cedA			Cell division activator CedA
HANCKOBL_00260	CDS	2262	katE	1.11.1.6	COG0753	Catalase HPII
HANCKOBL_00261	CDS	759	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
HANCKOBL_00262	CDS	1353	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
HANCKOBL_00263	CDS	840	chbR			HTH-type transcriptional regulator ChbR
HANCKOBL_00264	CDS	351	chbA		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
HANCKOBL_00265	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
HANCKOBL_00266	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
HANCKOBL_00267	CDS	339	osmE			Osmotically-inducible putative lipoprotein OsmE
HANCKOBL_00268	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
HANCKOBL_00269	CDS	888	cho	3.1.25.-	COG0322	Excinuclease cho
HANCKOBL_00270	CDS	576	ves		COG3758	Protein Ves
HANCKOBL_00271	CDS	486	spy		COG3678	Periplasmic chaperone Spy
HANCKOBL_00272	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
HANCKOBL_00273	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
HANCKOBL_00274	CDS	1479	astD_1	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
HANCKOBL_00275	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
HANCKOBL_00276	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
HANCKOBL_00277	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
HANCKOBL_00278	CDS	711	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
HANCKOBL_00279	CDS	678				hypothetical protein
HANCKOBL_00280	CDS	705	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
HANCKOBL_00281	CDS	549				hypothetical protein
HANCKOBL_00282	CDS	1167	ynjB		COG4134	Protein YnjB
HANCKOBL_00283	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
HANCKOBL_00284	CDS	654	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
HANCKOBL_00285	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
HANCKOBL_00286	CDS	621	ynjF		COG0558	Inner membrane protein YnjF
HANCKOBL_00287	CDS	408	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
HANCKOBL_00288	CDS	273				hypothetical protein
HANCKOBL_00289	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
HANCKOBL_00290	CDS	1956	topB	5.6.2.1	COG0550	DNA topoisomerase 3
HANCKOBL_00291	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
HANCKOBL_00292	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
HANCKOBL_00293	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
HANCKOBL_00294	CDS	711				hypothetical protein
HANCKOBL_00295	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
HANCKOBL_00296	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
HANCKOBL_00297	CDS	1359	ydjE_1			Inner membrane metabolite transport protein YdjE
HANCKOBL_00298	CDS	759	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
HANCKOBL_00299	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
HANCKOBL_00300	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
HANCKOBL_00301	CDS	837	ydjI		COG0191	putative protein YdjI
HANCKOBL_00302	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
HANCKOBL_00303	CDS	1380	ydjE_2			Inner membrane metabolite transport protein YdjE
HANCKOBL_00304	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
HANCKOBL_00305	CDS	273				hypothetical protein
HANCKOBL_00306	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
HANCKOBL_00307	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
HANCKOBL_00308	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
HANCKOBL_00309	CDS	855	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
HANCKOBL_00310	CDS	747	mipA		COG3713	MltA-interacting protein
HANCKOBL_00311	CDS	1935				hypothetical protein
HANCKOBL_00312	CDS	1284				hypothetical protein
HANCKOBL_00313	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
HANCKOBL_00314	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
HANCKOBL_00315	CDS	504				hypothetical protein
HANCKOBL_00316	CDS	447				hypothetical protein
HANCKOBL_00317	CDS	819	nimR_1			HTH-type transcriptional regulator NimR
HANCKOBL_00318	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
HANCKOBL_00319	CDS	348				hypothetical protein
HANCKOBL_00320	CDS	255				hypothetical protein
HANCKOBL_00321	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
HANCKOBL_00322	CDS	249				hypothetical protein
HANCKOBL_00323	CDS	183	yoaG			Protein YoaG
HANCKOBL_00324	CDS	360	yeaR		COG3615	putative protein YeaR
HANCKOBL_00325	CDS	639	leuE		COG1280	Leucine efflux protein
HANCKOBL_00326	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
HANCKOBL_00327	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
HANCKOBL_00328	CDS	582	slp_1		COG3065	Outer membrane protein Slp
HANCKOBL_00329	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
HANCKOBL_00330	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
HANCKOBL_00331	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HANCKOBL_00332	CDS	300				hypothetical protein
HANCKOBL_00333	CDS	180				hypothetical protein
HANCKOBL_00334	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
HANCKOBL_00335	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
HANCKOBL_00336	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
HANCKOBL_00337	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
HANCKOBL_00338	CDS	1557				hypothetical protein
HANCKOBL_00339	CDS	972	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
HANCKOBL_00340	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
HANCKOBL_00341	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
HANCKOBL_00342	CDS	459				hypothetical protein
